"Vorwahl";"Ortsnetzname";"Gemeindename";"Gemeindekennzahl"
"06092";"Heimbuchenthal";"Leidersbach";"09676136"
"06092";"Heimbuchenthal";"Mespelbrunn";"09671141"
"06093";"Laufach";"Bessenbach";"09671112"
"06093";"Laufach";"Laufach";"09671139"
"06093";"Laufach";"Sailauf";"09671150"
"06094";"Weibersbrunn";"Rothenbuch";"09671148"
"06094";"Weibersbrunn";"Weibersbrunn";"09671157"
"06095";"Bessenbach";"Bessenbach";"09671112"
"06095";"Bessenbach";"Waldaschaff";"09671156"
"06096";"Wiesen Unterfr";"Kleinkahl";"09671135"
"06096";"Wiesen Unterfr";"Wiesen";"09671162"
"06101";"Bad Vilbel";"Bad Vilbel, Stadt";"06440003"
"06101";"Bad Vilbel";"Frankfurt am Main, Stadt";"06412000"
"06101";"Bad Vilbel";"Niederdorfelden";"06435022"
"06102";"Neu-Isenburg";"Neu-Isenburg, Stadt";"06438009"
"06103";"Langen Hess";"Dreieich, Stadt";"06438002"
"06103";"Langen Hess";"Egelsbach";"06438003"
"06103";"Langen Hess";"Langen (Hessen), Stadt";"06438006"
"06104";"Heusenstamm";"Heusenstamm, Stadt";"06438005"
"06104";"Heusenstamm";"Obertshausen, Stadt";"06438010"
"06105";"Morfelden-Walldorf";"Morfelden-Walldorf, Stadt";"06433008"
"06106";"Rodgau";"Rodgau, Stadt";"06438011"
"06107";"Kelsterbach";"Kelsterbach, Stadt";"06433007"
"06108";"Muhlheim am Main";"Muhlheim am Main, Stadt";"06438008"
"06109";"Frankfurt-Bergen-Enkheim";"Frankfurt am Main, Stadt";"06412000"
"06109";"Frankfurt-Bergen-Enkheim";"Maintal, Stadt";"06435019"
"0611";"Wiesbaden";"Wiesbaden, Landeshauptstadt";"06414000"
"06120";"Aarbergen";"Aarbergen";"06439001"
"06120";"Aarbergen";"Heidenrod";"06439005"
"06120";"Aarbergen";"Hohenstein";"06439006"
"06120";"Aarbergen";"Reckenroth";"07141113"
"06122";"Hofheim-Wallau";"Hofheim am Taunus, Kreisstadt";"06436007"
"06122";"Hofheim-Wallau";"Wiesbaden, Landeshauptstadt";"06414000"
"06123";"Eltville am Rhein";"Eltville am Rhein, Stadt";"06439003"
"06123";"Eltville am Rhein";"Kiedrich";"06439009"
"06123";"Eltville am Rhein";"Walluf";"06439017"
"06124";"Bad Schwalbach";"Bad Schwalbach, Kreisstadt";"06439002"
"06124";"Bad Schwalbach";"Heidenrod";"06439005"
"06124";"Bad Schwalbach";"Hohenstein";"06439006"
"06124";"Bad Schwalbach";"Schlangenbad";"06439014"
"06126";"Idstein";"Hunstetten";"06439007"
"06126";"Idstein";"Idstein, Stadt";"06439008"
"06126";"Idstein";"Waldems";"06439016"
"06127";"Niedernhausen Taunus";"Idstein, Stadt";"06439008"
"06127";"Niedernhausen Taunus";"Niedernhausen";"06439011"
"06127";"Niedernhausen Taunus";"Wiesbaden, Landeshauptstadt";"06414000"
"06128";"Taunusstein";"Hohenstein";"06439006"
"06128";"Taunusstein";"Hunstetten";"06439007"
"06128";"Taunusstein";"Niedernhausen";"06439011"
"06128";"Taunusstein";"Taunusstein, Stadt";"06439015"
"06129";"Schlangenbad";"Schlangenbad";"06439014"
"06130";"Schwabenheim an der Selz";"Bubenheim";"07339008"
"06130";"Schwabenheim an der Selz";"Engelstadt";"07339016"
"06130";"Schwabenheim an der Selz";"Ingelheim am Rhein, Stadt";"07339030"
"06130";"Schwabenheim an der Selz";"Jugenheim in Rheinhessen";"07339031"
"06130";"Schwabenheim an der Selz";"Schwabenheim an der Selz";"07339051"
"06130";"Schwabenheim an der Selz";"Stadecken-Elsheim";"07339057"
"06131";"Mainz";"Mainz, Stadt";"07315000"
"06132";"Ingelheim am Rhein";"Heidesheim am Rhein";"07339027"
"06132";"Ingelheim am Rhein";"Ingelheim am Rhein, Stadt";"07339030"
"06132";"Ingelheim am Rhein";"Wackernheim";"07339061"
"06133";"Oppenheim";"Dexheim";"07339011"
"06133";"Oppenheim";"Dienheim";"07339012"
"06133";"Oppenheim";"Nierstein";"07339043"
"06133";"Oppenheim";"Oppenheim, Stadt";"07339049"
"06134";"Mainz-Kastel";"Ginsheim-Gustavsburg";"06433005"
"06134";"Mainz-Kastel";"Wiesbaden, Landeshauptstadt";"06414000"
"06135";"Bodenheim Rhein";"Bodenheim";"07339006"
"06135";"Bodenheim Rhein";"Gau-Bischofsheim";"07339020"
"06135";"Bodenheim Rhein";"Nackenheim";"07339039"
"06136";"Nieder-Olm";"Essenheim";"07339017"
"06136";"Nieder-Olm";"Klein-Winternheim";"07339032"
"06136";"Nieder-Olm";"Mainz, Stadt";"07315000"
"06136";"Nieder-Olm";"Nieder-Olm";"07339042"
"06136";"Nieder-Olm";"Ober-Olm";"07339047"
"06136";"Nieder-Olm";"Sorgenloch";"07339054"
"06136";"Nieder-Olm";"Stadecken-Elsheim";"07339057"
"06136";"Nieder-Olm";"Zornheim";"07339067"
"06138";"Mommenheim";"Harxheim";"07339026"
"06138";"Mommenheim";"Lorzweiler";"07339034"
"06138";"Mommenheim";"Mommenheim";"07339037"
"06139";"Budenheim";"Budenheim";"07339009"
"06142";"Russelsheim";"Raunheim, Stadt";"06433010"
"06142";"Russelsheim";"Russelsheim, Stadt";"06433012"
"06144";"Bischofsheim b Russelsheim";"Bischofsheim";"06433002"
"06144";"Bischofsheim b Russelsheim";"Ginsheim-Gustavsburg";"06433005"
"06145";"Florsheim am Main";"Florsheim am Main, Stadt";"06436004"
"06145";"Florsheim am Main";"Hattersheim am Main, Stadt";"06436005"
"06145";"Florsheim am Main";"Hochheim am Main, Stadt";"06436006"
"06146";"Hochheim am Main";"Hochheim am Main, Stadt";"06436006"
"06147";"Trebur";"Trebur";"06433014"
"06150";"Weiterstadt";"Darmstadt, Wissenschaftsstadt";"06411000"
"06150";"Weiterstadt";"Erzhausen";"06432006"
"06150";"Weiterstadt";"Weiterstadt, Stadt";"06432023"
"06151";"Darmstadt";"Darmstadt, Wissenschaftsstadt";"06411000"
"06151";"Darmstadt";"Muhltal";"06432014"
"06151";"Darmstadt";"Pfungstadt, Stadt";"06432018"
"06151";"Darmstadt";"Seeheim-Jugenheim";"06432022"
"06152";"Gross-Gerau";"Buttelborn";"06433003"
"06152";"Gross-Gerau";"Gro?-Gerau, Stadt";"06433006"
"06152";"Gross-Gerau";"Nauheim";"06433009"
"06154";"Ober-Ramstadt";"Muhltal";"06432014"
"06154";"Ober-Ramstadt";"Ober-Ramstadt, Stadt";"06432016"
"06154";"Ober-Ramstadt";"Ro?dorf";"06432020"
"06155";"Griesheim Hess";"Griesheim, Stadt";"06432008"
"06157";"Pfungstadt";"Pfungstadt, Stadt";"06432018"
"06158";"Riedstadt";"Riedstadt";"06433011"
"06158";"Riedstadt";"Stockstadt am Rhein";"06433013"
"06159";"Messel";"Messel";"06432012"
"06161";"Brensbach";"Brensbach";"06437003"
"06161";"Brensbach";"Gro?-Bieberau, Stadt";"06432009"
"06162";"Reinheim Odenw";"Gro?-Bieberau, Stadt";"06432009"
"06162";"Reinheim Odenw";"Otzberg";"06432017"
"06162";"Reinheim Odenw";"Reinheim, Stadt";"06432019"
"06163";"Hochst i Odw";"Bad Konig, Stadt";"06437001"
"06163";"Hochst i Odw";"Breuberg, Stadt";"06437004"
"06163";"Hochst i Odw";"Hochst i. Odw.";"06437009"
"06163";"Hochst i Odw";"Otzberg";"06432017"
"06164";"Reichelsheim Odenwald";"Frankisch-Crumbach";"06437007"
"06164";"Reichelsheim Odenwald";"Reichelsheim (Odenwald)";"06437013"
"06165";"Breuberg";"Breuberg, Stadt";"06437004"
"06165";"Breuberg";"Lutzelbach";"06437010"
"06166";"Fischbachtal";"Fischbachtal";"06432007"
"06166";"Fischbachtal";"Gro?-Bieberau, Stadt";"06432009"
"06167";"Modautal";"Modautal";"06432013"
"06167";"Modautal";"Muhltal";"06432014"
"06167";"Modautal";"Ober-Ramstadt, Stadt";"06432016"
"06171";"Oberursel Taunus";"Oberursel (Taunus), Stadt";"06434008"
"06171";"Oberursel Taunus";"Steinbach (Taunus), Stadt";"06434010"
"06172";"Bad Homburg v d Hohe";"Bad Homburg v.d. Hohe, Stadt";"06434001"
"06172";"Bad Homburg v d Hohe";"Friedrichsdorf, Stadt";"06434002"
"06172";"Bad Homburg v d Hohe";"Oberursel (Taunus), Stadt";"06434008"
"06173";"Kronberg im Taunus";"Eschborn, Stadt";"06436003"
"06173";"Kronberg im Taunus";"Konigstein im Taunus, Stadt";"06434005"
"06173";"Kronberg im Taunus";"Kronberg im Taunus, Stadt";"06434006"
"06174";"Konigstein im Taunus";"Bad Soden am Taunus, Stadt";"06436001"
"06174";"Konigstein im Taunus";"Glashutten";"06434003"
"06174";"Konigstein im Taunus";"Kelkheim (Taunus), Stadt";"06436008"
"06174";"Konigstein im Taunus";"Konigstein im Taunus, Stadt";"06434005"
"06175";"Friedrichsdorf Taunus";"Friedrichsdorf, Stadt";"06434002"
"06181";"Hanau";"Bruchkobel, Stadt";"06435006"
"06181";"Hanau";"Gro?krotzenburg";"06435011"
"06181";"Hanau";"Hanau, Stadt";"06435014"
"06181";"Hanau";"Maintal, Stadt";"06435019"
"06182";"Seligenstadt";"Hainburg";"06438004"
"06182";"Seligenstadt";"Mainhausen";"06438007"
"06182";"Seligenstadt";"Rodgau, Stadt";"06438011"
"06182";"Seligenstadt";"Seligenstadt, Stadt";"06438013"
"06183";"Erlensee";"Bruchkobel, Stadt";"06435006"
"06183";"Erlensee";"Erlensee";"06435007"
"06183";"Erlensee";"Neuberg";"06435020"
"06184";"Langenselbold";"Erlensee";"06435007"
"06184";"Langenselbold";"Hanau, Stadt";"06435014"
"06184";"Langenselbold";"Langenselbold, Stadt";"06435017"
"06184";"Langenselbold";"Neuberg";"06435020"
"06184";"Langenselbold";"Rodenbach";"06435023"
"06184";"Langenselbold";"Ronneburg";"06435024"
"06185";"Hammersbach Hess";"Bruchkobel, Stadt";"06435006"
"06185";"Hammersbach Hess";"Hammersbach";"06435013"
"06185";"Hammersbach Hess";"Neuberg";"06435020"
"06186";"Grosskrotzenburg";"Gro?krotzenburg";"06435011"
"06187";"Schoneck";"Niddatal, Stadt";"06440017"
"06187";"Schoneck";"Nidderau, Stadt";"06435021"
"06187";"Schoneck";"Schoneck";"06435026"
"06188";"Kahl a Main";"Alzenau";"09671111"
"06188";"Kahl a Main";"Gro?krotzenburg";"06435011"
"06188";"Kahl a Main";"Kahl a. Main";"09671134"
"06188";"Kahl a Main";"Karlstein a. Main";"09671114"
"06190";"Hattersheim a Main";"Hattersheim am Main, Stadt";"06436005"
"06192";"Hofheim am Taunus";"Hofheim am Taunus, Kreisstadt";"06436007"
"06192";"Hofheim am Taunus";"Kriftel";"06436009"
"06195";"Kelkheim Taunus";"Kelkheim (Taunus), Stadt";"06436008"
"06196";"Bad Soden am Taunus";"Bad Soden am Taunus, Stadt";"06436001"
"06196";"Bad Soden am Taunus";"Eschborn, Stadt";"06436003"
"06196";"Bad Soden am Taunus";"Liederbach am Taunus";"06436010"
"06196";"Bad Soden am Taunus";"Schwalbach am Taunus, Stadt";"06436011"
"06196";"Bad Soden am Taunus";"Sulzbach (Taunus)";"06436012"
"06198";"Eppstein";"Eppstein, Stadt";"06436002"
"06198";"Eppstein";"Hofheim am Taunus, Kreisstadt";"06436007"
"06198";"Eppstein";"Kelkheim (Taunus), Stadt";"06436008"
"06201";"Weinheim Bergstr";"Birkenau";"06431004"
"06201";"Weinheim Bergstr";"Gorxheimertal";"06431008"
"06201";"Weinheim Bergstr";"Heddesheim";"08226028"
"06201";"Weinheim Bergstr";"Hemsbach, Stadt";"08226031"
"06201";"Weinheim Bergstr";"Hirschberg an der Bergstra?e";"08226107"
"06201";"Weinheim Bergstr";"Laudenbach";"08226040"
"06201";"Weinheim Bergstr";"Morlenbach";"06431017"
"06201";"Weinheim Bergstr";"Weinheim, Stadt";"08226096"
"06202";"Schwetzingen";"Bruhl";"08226009"
"06202";"Schwetzingen";"Heidelberg, Stadt";"08221000"
"06202";"Schwetzingen";"Ketsch";"08226037"
"06202";"Schwetzingen";"Oftersheim";"08226062"
"06202";"Schwetzingen";"Plankstadt";"08226063"
"06202";"Schwetzingen";"Schwetzingen, Stadt";"08226084"
"06203";"Ladenburg";"Edingen-Neckarhausen";"08226105"
"06203";"Ladenburg";"Heddesheim";"08226028"
"06203";"Ladenburg";"Ladenburg, Stadt";"08226038"
"06203";"Ladenburg";"Schriesheim, Stadt";"08226082"
"06204";"Viernheim";"Viernheim, Stadt";"06431020"
"06205";"Hockenheim";"Altlu?heim";"08226003"
"06205";"Hockenheim";"Hockenheim, Stadt";"08226032"
"06205";"Hockenheim";"Neulu?heim";"08226059"
"06205";"Hockenheim";"Reilingen";"08226068"
"06206";"Lampertheim";"Burstadt, Stadt";"06431005"
"06206";"Lampertheim";"Lampertheim, Stadt";"06431013"
"06207";"Wald-Michelbach";"Abtsteinach";"06431001"
"06207";"Wald-Michelbach";"Grasellenbach";"06431009"
"06207";"Wald-Michelbach";"Wald-Michelbach";"06431021"
"06209";"Morlenbach";"Birkenau";"06431004"
"06209";"Morlenbach";"Morlenbach";"06431017"
"0621";"Mannheim";"Edingen-Neckarhausen";"08226105"
"0621";"Mannheim";"Ilvesheim";"08226036"
"0621";"Mannheim";"Ludwigshafen am Rhein, Stadt";"07314000"
"0621";"Mannheim";"Mannheim, Universitatsstadt";"08222000"
"06220";"Wilhelmsfeld";"Heiligkreuzsteinach";"08226029"
"06220";"Wilhelmsfeld";"Schriesheim, Stadt";"08226082"
"06220";"Wilhelmsfeld";"Wilhelmsfeld";"08226099"
"06221";"Heidelberg";"Dossenheim";"08226012"
"06221";"Heidelberg";"Eppelheim, Stadt";"08226018"
"06221";"Heidelberg";"Heidelberg, Stadt";"08221000"
"06222";"Wiesloch";"Dielheim";"08226010"
"06222";"Wiesloch";"Muhlhausen";"08226054"
"06222";"Wiesloch";"Rauenberg, Stadt";"08226065"
"06222";"Wiesloch";"Wiesloch, Stadt";"08226098"
"06223";"Neckargemund";"Bammental";"08226006"
"06223";"Neckargemund";"Gaiberg";"08226022"
"06223";"Neckargemund";"Neckargemund, Stadt";"08226056"
"06223";"Neckargemund";"Wiesenbach";"08226097"
"06224";"Sandhausen Baden";"Leimen, Stadt";"08226041"
"06224";"Sandhausen Baden";"Nu?loch";"08226060"
"06224";"Sandhausen Baden";"Sandhausen";"08226076"
"06226";"Meckesheim";"Dielheim";"08226010"
"06226";"Meckesheim";"Eschelbronn";"08226020"
"06226";"Meckesheim";"Leimen, Stadt";"08226041"
"06226";"Meckesheim";"Lobbach";"08226104"
"06226";"Meckesheim";"Mauer";"08226048"
"06226";"Meckesheim";"Meckesheim";"08226049"
"06226";"Meckesheim";"Spechbach";"08226086"
"06226";"Meckesheim";"Zuzenhausen";"08226101"
"06227";"Walldorf Baden";"Sankt Leon-Rot";"08226103"
"06227";"Walldorf Baden";"Walldorf, Stadt";"08226095"
"06228";"Schonau Odenw";"Schonau, Stadt";"08226080"
"06229";"Neckarsteinach";"Neckargemund, Stadt";"08226056"
"06229";"Neckarsteinach";"Neckarsteinach, Stadt";"06431018"
"06231";"Hochdorf-Assenheim";"Dannstadt-Schauernheim";"07338006"
"06231";"Hochdorf-Assenheim";"Hochdorf-Assenheim";"07338014"
"06231";"Hochdorf-Assenheim";"Rodersheim-Gronau";"07338022"
"06232";"Speyer";"Dudenhofen";"07338007"
"06232";"Speyer";"Otterstadt";"07338021"
"06232";"Speyer";"Romerberg";"07338023"
"06232";"Speyer";"Speyer, Stadt";"07318000"
"06233";"Frankenthal Pfalz";"Beindersheim";"07338002"
"06233";"Frankenthal Pfalz";"Frankenthal (Pfalz), Stadt";"07311000"
"06233";"Frankenthal Pfalz";"He?heim";"07338012"
"06233";"Frankenthal Pfalz";"Lambsheim";"07338016"
"06234";"Mutterstadt";"Mutterstadt";"07338019"
"06235";"Schifferstadt";"Schifferstadt, Stadt";"07338025"
"06236";"Neuhofen Pfalz";"Altrip";"07338001"
"06236";"Neuhofen Pfalz";"Limburgerhof";"07338017"
"06236";"Neuhofen Pfalz";"Neuhofen";"07338020"
"06236";"Neuhofen Pfalz";"Waldsee";"07338026"
"06237";"Maxdorf";"Birkenheide";"07338003"
"06237";"Maxdorf";"Ellerstadt";"07332013"
"06237";"Maxdorf";"Fu?gonheim";"07338008"
"06237";"Maxdorf";"Ludwigshafen am Rhein, Stadt";"07314000"
"06237";"Maxdorf";"Maxdorf";"07338018"
"06238";"Dirmstein";"Dirmstein";"07332010"
"06238";"Dirmstein";"Gerolsheim";"07332021"
"06238";"Dirmstein";"Gro?karlbach";"07332023"
"06238";"Dirmstein";"Heuchelheim bei Frankenthal";"07338013"
"06238";"Dirmstein";"Laumersheim";"07332033"
"06239";"Bobenheim-Roxheim";"Bobenheim-Roxheim";"07338004"
"06239";"Bobenheim-Roxheim";"Gro?niedesheim";"07338009"
"06239";"Bobenheim-Roxheim";"Kleinniedesheim";"07338015"
"06241";"Worms";"Lampertheim, Stadt";"06431013"
"06241";"Worms";"Worms, Stadt";"07319000"
"06242";"Osthofen";"Bechtheim";"07331006"
"06242";"Osthofen";"Mettenheim";"07331045"
"06242";"Osthofen";"Osthofen, Stadt";"07331055"
"06242";"Osthofen";"Worms, Stadt";"07319000"
"06243";"Monsheim";"Florsheim-Dalsheim";"07331023"
"06243";"Monsheim";"Hohen-Sulzen";"07331041"
"06243";"Monsheim";"Molsheim";"07331046"
"06243";"Monsheim";"Monsheim";"07331048"
"06243";"Monsheim";"Offstein";"07331054"
"06243";"Monsheim";"Wachenheim";"07331066"
"06244";"Westhofen Rheinhess";"Bermersheim";"07331009"
"06244";"Westhofen Rheinhess";"Dittelsheim-He?loch";"07331015"
"06244";"Westhofen Rheinhess";"Gundersheim";"07331036"
"06244";"Westhofen Rheinhess";"Gundheim";"07331037"
"06244";"Westhofen Rheinhess";"Monzernheim";"07331049"
"06244";"Westhofen Rheinhess";"Westhofen";"07331071"
"06245";"Biblis";"Biblis";"06431003"
"06245";"Biblis";"Burstadt, Stadt";"06431005"
"06245";"Biblis";"Gro?-Rohrheim";"06431010"
"06246";"Eich Rheinhess";"Eich";"07331018"
"06246";"Eich Rheinhess";"Hamm am Rhein";"07331038"
"06246";"Eich Rheinhess";"Worms, Stadt";"07319000"
"06247";"Worms-Pfeddersheim";"Morstadt";"07331047"
"06247";"Worms-Pfeddersheim";"Worms, Stadt";"07319000"
"06249";"Guntersblum";"Alsheim";"07331002"
"06249";"Guntersblum";"Dalheim";"07339010"
"06249";"Guntersblum";"Eimsheim";"07339015"
"06249";"Guntersblum";"Gimbsheim";"07331034"
"06249";"Guntersblum";"Guntersblum";"07339024"
"06249";"Guntersblum";"Ludwigshohe";"07339035"
"06249";"Guntersblum";"Uelversheim";"07339059"
"06249";"Guntersblum";"Weinolsheim";"07339064"
"06251";"Bensheim";"Bensheim, Stadt";"06431002"
"06251";"Bensheim";"Einhausen";"06431006"
"06251";"Bensheim";"Lautertal (Odenwald)";"06431014"
"06251";"Bensheim";"Lorsch, Stadt";"06431016"
"06251";"Bensheim";"Zwingenberg, Stadt";"06431022"
"06252";"Heppenheim Bergstra?e";"Heppenheim (Bergstra?e), Kreisstadt";"06431011"
"06253";"Furth Odenw";"Furth";"06431007"
"06253";"Furth Odenw";"Grasellenbach";"06431009"
"06253";"Furth Odenw";"Heppenheim (Bergstra?e), Kreisstadt";"06431011"
"06253";"Furth Odenw";"Reichelsheim (Odenwald)";"06437013"
"06253";"Furth Odenw";"Rimbach";"06431019"
"06254";"Lautertal Odenwald";"Lautertal (Odenwald)";"06431014"
"06254";"Lautertal Odenwald";"Lindenfels, Stadt";"06431015"
"06254";"Lautertal Odenwald";"Modautal";"06432013"
"06255";"Lindenfels";"Lindenfels, Stadt";"06431015"
"06256";"Lampertheim-Huttenfeld";"Lampertheim, Stadt";"06431013"
"06257";"Seeheim-Jugenheim";"Alsbach-Hahnlein";"06432001"
"06257";"Seeheim-Jugenheim";"Bickenbach";"06432003"
"06257";"Seeheim-Jugenheim";"Seeheim-Jugenheim";"06432022"
"06258";"Gernsheim";"Biebesheim am Rhein";"06433001"
"06258";"Gernsheim";"Gernsheim, Schofferstadt";"06433004"
"06261";"Mosbach Baden";"Elztal";"08225117"
"06261";"Mosbach Baden";"Ha?mersheim";"08225033"
"06261";"Mosbach Baden";"Mosbach, Stadt";"08225058"
"06261";"Mosbach Baden";"Neckarzimmern";"08225067"
"06261";"Mosbach Baden";"Obrigheim";"08225074"
"06262";"Aglasterhausen";"Aglasterhausen";"08225002"
"06262";"Aglasterhausen";"Neunkirchen";"08225068"
"06262";"Aglasterhausen";"Obrigheim";"08225074"
"06262";"Aglasterhausen";"Reichartshausen";"08226066"
"06262";"Aglasterhausen";"Schonbrunn";"08226081"
"06262";"Aglasterhausen";"Schwarzach";"08225116"
"06263";"Neckargerach";"Binau";"08225010"
"06263";"Neckargerach";"Eberbach, Stadt";"08226013"
"06263";"Neckargerach";"Mosbach, Stadt";"08225058"
"06263";"Neckargerach";"Neckargerach";"08225064"
"06263";"Neckargerach";"Neunkirchen";"08225068"
"06263";"Neckargerach";"Zwingenberg";"08225113"
"06264";"Neudenau";"Neudenau, Stadt";"08125068"
"06264";"Neudenau";"Neuenstadt am Kocher, Stadt";"08125069"
"06265";"Billigheim Baden";"Billigheim";"08225009"
"06265";"Billigheim Baden";"Gundelsheim, Stadt";"08125039"
"06266";"Hassmersheim";"Ha?mersheim";"08225033"
"06267";"Fahrenbach Baden";"Elztal";"08225117"
"06267";"Fahrenbach Baden";"Fahrenbach";"08225024"
"06267";"Fahrenbach Baden";"Mosbach, Stadt";"08225058"
"06268";"Huffenhardt";"Bad Rappenau, Gro?e Kreisstadt";"08125006"
"06268";"Huffenhardt";"Helmstadt-Bargen";"08226106"
"06268";"Huffenhardt";"Huffenhardt";"08225042"
"06269";"Gundelsheim Wurtt";"Gundelsheim, Stadt";"08125039"
"06271";"Eberbach Baden";"Eberbach, Stadt";"08226013"
"06271";"Eberbach Baden";"Schonbrunn";"08226081"
"06272";"Hirschhorn Neckar";"Eberbach, Stadt";"08226013"
"06272";"Hirschhorn Neckar";"Heddesbach";"08226027"
"06272";"Hirschhorn Neckar";"Hirschhorn (Neckar), Stadt";"06431012"
"06272";"Hirschhorn Neckar";"Schonbrunn";"08226081"
"06274";"Waldbrunn Odenw";"Limbach";"08225052"
"06274";"Waldbrunn Odenw";"Waldbrunn";"08225118"
"06275";"Rothenberg Odenw";"Hirschhorn (Neckar), Stadt";"06431012"
"06275";"Rothenberg Odenw";"Rothenberg";"06437014"
"06276";"Hesseneck";"Eberbach, Stadt";"08226013"
"06276";"Hesseneck";"Hesseneck";"06437008"
"06281";"Buchen Odenwald";"Buchen (Odenwald), Stadt";"08225014"
"06282";"Walldurn";"Walldurn, Stadt";"08225109"
"06283";"Hardheim Odenw";"Hardheim";"08225032"
"06283";"Hardheim Odenw";"Hopfingen";"08225039"
"06283";"Hardheim Odenw";"Konigheim";"08128061"
"06284";"Mudau";"Buchen (Odenwald), Stadt";"08225014"
"06284";"Mudau";"Mudau";"08225060"
"06285";"Walldurn-Altheim";"Walldurn, Stadt";"08225109"
"06286";"Walldurn-Rippberg";"Buchen (Odenwald), Stadt";"08225014"
"06286";"Walldurn-Rippberg";"Walldurn, Stadt";"08225109"
"06287";"Limbach Baden";"Buchen (Odenwald), Stadt";"08225014"
"06287";"Limbach Baden";"Limbach";"08225052"
"06291";"Adelsheim";"Adelsheim, Stadt";"08225001"
"06291";"Adelsheim";"Osterburken, Stadt";"08225075"
"06291";"Adelsheim";"Seckach";"08225091"
"06291";"Adelsheim";"Widdern, Stadt";"08125103"
"06292";"Seckach";"Buchen (Odenwald), Stadt";"08225014"
"06292";"Seckach";"Osterburken, Stadt";"08225075"
"06292";"Seckach";"Seckach";"08225091"
"06293";"Schefflenz";"Elztal";"08225117"
"06293";"Schefflenz";"Schefflenz";"08225115"
"06293";"Schefflenz";"Seckach";"08225091"
"06294";"Krautheim Jagst";"Assamstadt";"08128006"
"06294";"Krautheim Jagst";"Ingelfingen, Stadt";"08126039"
"06294";"Krautheim Jagst";"Krautheim, Stadt";"08126045"
"06294";"Krautheim Jagst";"Schontal";"08126072"
"06295";"RosenbergBaden";"Osterburken, Stadt";"08225075"
"06295";"RosenbergBaden";"Rosenberg";"08225082"
"06296";"Ahorn Baden";"Ahorn";"08128138"
"06296";"Ahorn Baden";"Hardheim";"08225032"
"06297";"Ravenstein Baden";"Ravenstein, Stadt";"08225114"
"06298";"Mockmuhl";"Mockmuhl, Stadt";"08125063"
"06298";"Mockmuhl";"Neudenau, Stadt";"08125068"
"06298";"Mockmuhl";"Roigheim";"08125084"
"06298";"Mockmuhl";"Widdern, Stadt";"08125103"
"06301";"Otterbach Pfalz";"Kaiserslautern, Stadt";"07312000"
"06301";"Otterbach Pfalz";"Katzweiler";"07335017"
"06301";"Otterbach Pfalz";"Mehlbach";"07335025"
"06301";"Otterbach Pfalz";"Otterbach";"07335034"
"06301";"Otterbach Pfalz";"Otterberg, Stadt";"07335035"
"06301";"Otterbach Pfalz";"Schneckenhausen";"07335042"
"06302";"Winnweiler";"Falkenstein";"07333020"
"06302";"Winnweiler";"Gehrweiler";"07333024"
"06302";"Winnweiler";"Gonbach";"07333027"
"06302";"Winnweiler";"Horingen";"07333030"
"06302";"Winnweiler";"Imsbach";"07333033"
"06302";"Winnweiler";"Lohnsfeld";"07333042"
"06302";"Winnweiler";"Munchweiler an der Alsenz";"07333048"
"06302";"Winnweiler";"Schweisweiler";"07333069"
"06302";"Winnweiler";"Wartenberg-Rohrbach";"07333080"
"06302";"Winnweiler";"Winnweiler";"07333503"
"06303";"Enkenbach-Alsenborn";"Enkenbach-Alsenborn";"07335004"
"06303";"Enkenbach-Alsenborn";"Mehlingen";"07335026"
"06303";"Enkenbach-Alsenborn";"Neuhemsbach";"07335028"
"06303";"Enkenbach-Alsenborn";"Sembach";"07335205"
"06304";"Wolfstein Pfalz";"Aschbach";"07336005"
"06304";"Wolfstein Pfalz";"Einollen";"07336019"
"06304";"Wolfstein Pfalz";"E?weiler";"07336023"
"06304";"Wolfstein Pfalz";"Hinzweiler";"07336042"
"06304";"Wolfstein Pfalz";"Nerzweiler";"07336065"
"06304";"Wolfstein Pfalz";"Oberweiler im Tal";"07336072"
"06304";"Wolfstein Pfalz";"Oberweiler-Tiefenbach";"07336073"
"06304";"Wolfstein Pfalz";"Rothselberg";"07336087"
"06304";"Wolfstein Pfalz";"Rutsweiler an der Lauter";"07336090"
"06304";"Wolfstein Pfalz";"Wolfstein, Stadt";"07336105"
"06305";"Hochspeyer";"Fischbach";"07335007"
"06305";"Hochspeyer";"Hochspeyer";"07335015"
"06305";"Hochspeyer";"Waldleiningen";"07335048"
"06306";"Trippstadt";"Elmstein";"07332014"
"06306";"Trippstadt";"Kaiserslautern, Stadt";"07312000"
"06306";"Trippstadt";"Stelzenberg";"07335045"
"06306";"Trippstadt";"Trippstadt";"07335047"
"06307";"Schopp";"Geiselberg";"07340012"
"06307";"Schopp";"Krickenbach";"07335021"
"06307";"Schopp";"Linden";"07335023"
"06307";"Schopp";"Schmalenberg";"07340044"
"06307";"Schopp";"Schopp";"07335204"
"06308";"Olsbrucken";"Frankelbach";"07335009"
"06308";"Olsbrucken";"Hirschhorn/ Pfalz";"07335014"
"06308";"Olsbrucken";"Kreimbach-Kaulbach";"07336053"
"06308";"Olsbrucken";"Niederkirchen";"07335029"
"06308";"Olsbrucken";"Olsbrucken";"07335033"
"06308";"Olsbrucken";"Sulzbachtal";"07335046"
"0631";"Kaiserslautern";"Kaiserslautern, Stadt";"07312000"
